,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
265,cidreira,0,BR,1580665128,79,-30.18,-50.21,76.33,19.08
266,lufilufi,48,WS,1580665129,88,-13.87,-171.6,78.01,3.0
267,mount gambier,99,AU,1580665129,82,-37.83,140.77,55.4,14.99
268,carnarvon,0,AU,1580665129,94,-24.87,113.63,73.4,4.7
269,lebu,0,CL,1580665129,39,-37.62,-73.65,69.87,8.66
270,hecun,44,CN,1580665129,62,36.53,114.11,29.53,3.71
271,zanjan,10,IR,1580665129,95,36.67,48.48,8.31,2.33
272,svarstad,0,NO,1580665129,51,59.4,9.97,37.99,6.93
273,vao,82,NC,1580665129,80,-22.67,167.48,78.21,14.81
274,kloulklubed,75,PW,1580665130,83,7.04,134.26,78.8,5.82
275,raton,1,US,1580665130,15,36.9,-104.44,64.0,9.17
276,amahai,91,ID,1580665130,76,-3.33,128.92,82.8,12.15
277,nipawin,90,CA,1580665130,85,53.37,-104.0,19.4,21.92
278,gillette,1,US,1580665027,55,44.29,-105.5,41.0,13.87
279,aswan,4,EG,1580665130,14,24.09,32.91,69.8,14.99
280,sao miguel do araguaia,58,BR,1580665130,56,-13.28,-50.16,89.02,4.56
281,atasu,100,KZ,1580665130,74,48.68,71.64,27.05,2.55
282,leningradskiy,100,RU,1580665130,89,69.38,178.42,-15.88,11.01
283,rocha,0,UY,1580665130,29,-34.48,-54.33,90.99,11.83
284,miranda,40,CO,1580665131,61,3.25,-76.23,82.4,3.36
285,kahului,20,US,1580664854,77,20.89,-156.47,69.8,11.41
286,mwense,100,ZM,1580665131,98,-10.38,28.7,65.98,2.21
287,upernavik,0,GL,1580665131,91,72.79,-56.15,-26.52,6.04
288,constantine,20,DZ,1580665041,66,36.37,6.61,55.4,4.7
289,klaksvik,100,FO,1580665131,74,62.23,-6.59,35.6,12.75
290,eureka,1,US,1580665074,75,40.8,-124.16,46.0,6.93
291,estepona,50,ES,1580665131,93,36.43,-5.15,64.4,8.05
292,ulladulla,90,AU,1580665131,100,-35.35,150.47,68.0,2.24
293,ayagoz,0,KZ,1580665131,66,47.97,80.44,7.75,0.83
294,ishigaki,0,JP,1580665132,54,24.34,124.16,64.6,7.2
295,yokadouma,74,CM,1580665132,26,3.52,15.05,78.24,1.77
296,todos santos,90,MX,1580665132,88,23.45,-110.22,66.0,3.36
297,inhambane,20,MZ,1580664867,83,-23.86,35.38,80.6,4.7
298,lagoa,100,PT,1580665132,66,39.05,-27.98,58.15,10.78
299,johi,29,PK,1580665132,32,26.69,67.61,62.04,1.83
300,kapustin yar,92,RU,1580665132,82,48.58,45.74,37.53,8.79
301,camden,75,US,1580665132,56,39.78,-74.97,45.0,12.75
302,houma,1,US,1580665132,45,29.6,-90.72,70.0,10.29
303,necochea,41,AR,1580665061,69,-38.55,-58.74,75.99,11.01
304,skofja loka,75,SI,1580665133,87,46.17,14.31,48.99,1.12
305,gavle,47,SE,1580665047,61,60.67,17.14,37.0,7.0
306,buala,100,SB,1580665133,84,-8.14,159.59,81.14,9.22
307,fort abbas,0,PK,1580665133,33,29.19,72.85,59.07,5.17
308,charlestown,40,AU,1580665133,94,-32.95,151.67,75.99,4.7
309,awbari,0,LY,1580665133,23,26.59,12.78,64.92,8.25
310,mount pleasant,1,US,1580665090,54,32.79,-79.86,57.99,6.93
311,uglovskoye,0,RU,1580665133,81,51.36,80.19,8.78,10.38
312,slanic-moldova,92,RO,1580665134,70,46.2,26.43,46.4,6.93
313,bumba,55,CD,1580665134,46,2.18,22.47,82.26,1.95
314,teya,96,RU,1580665155,94,60.38,92.63,-17.12,2.71
315,nuuk,75,GL,1580665117,72,64.18,-51.72,14.0,8.05
316,bam,0,IR,1580664866,51,29.11,58.36,53.98,11.79
317,kokoda,100,PG,1580665155,88,-8.88,147.74,61.39,2.19
318,bat khela,0,PK,1580665155,38,34.62,71.97,47.97,5.19
319,vuktyl,100,RU,1580665155,94,63.86,57.31,11.73,7.94
320,guanay,89,BO,1580665155,42,-15.5,-67.88,90.52,2.89
321,mamakan,99,RU,1580665156,97,57.82,114.0,-21.6,2.04
322,ostersund,18,SE,1580665156,79,63.18,14.64,34.0,14.99
323,mawlaik,0,MM,1580665156,54,23.63,94.42,53.31,2.51
324,kutum,81,SD,1580665156,19,14.2,24.67,59.38,5.28
325,lakes entrance,34,AU,1580665156,74,-37.88,147.98,63.0,18.3
326,touros,40,BR,1580665156,62,-5.2,-35.46,87.8,17.22
327,aykhal,0,RU,1580665156,66,66.0,111.5,-31.0,4.47
328,big rapids,90,US,1580664920,60,43.7,-85.48,46.99,20.8
329,basco,49,PH,1580665156,63,20.45,121.97,70.47,16.51
330,peruibe,100,BR,1580665157,79,-24.32,-47.0,77.72,5.32
331,vangaindrano,32,MG,1580665157,88,-23.35,47.6,72.39,2.19
332,praia,0,CV,1580665121,19,14.92,-23.51,86.0,12.75
333,sarkand,31,KZ,1580665157,45,45.41,79.92,28.69,3.65
334,jackson,90,US,1580664948,74,42.42,-122.83,41.0,4.7
335,hobyo,81,SO,1580665157,70,5.35,48.53,76.42,18.03
336,san quintin,0,MX,1580665157,37,30.48,-115.95,67.42,5.41
337,gilgit,9,PK,1580665157,30,35.92,74.31,2.5,3.96
338,ponta delgada,75,PT,1580665157,87,37.73,-25.67,57.2,18.34
339,juntas,66,CR,1580665158,73,10.28,-84.96,77.79,28.39
340,sitka,40,US,1580665158,86,57.05,-135.33,30.2,5.82
341,plettenberg bay,87,ZA,1580665158,82,-34.05,23.37,72.73,3.04
342,santa fe,0,AR,1580665179,31,-31.63,-60.7,95.0,4.0
343,tamworth,75,GB,1580665179,71,52.63,-1.7,51.8,10.29
344,tuatapere,100,NZ,1580665179,98,-46.13,167.68,59.0,1.01
345,general pico,0,AR,1580665179,13,-35.66,-63.76,104.61,14.27
346,chegdomyn,100,RU,1580665179,97,51.12,133.02,-4.59,1.97
347,eyl,91,SO,1580665180,74,7.98,49.82,77.02,21.9
348,oranjemund,21,NA,1580665180,89,-28.55,16.43,64.74,11.52
349,rio gallegos,75,AR,1580665180,55,-51.62,-69.22,60.8,8.05
350,aleksandrov gay,100,RU,1580665180,97,50.15,48.57,34.39,11.86
351,iranshahr,63,IR,1580665180,42,27.2,60.68,62.6,6.93
352,jacareacanga,32,BR,1580665180,80,-6.22,-57.75,84.56,4.47
353,pando,0,UY,1580665180,38,-34.72,-55.95,91.4,12.75
354,preobrazheniye,100,RU,1580665180,50,42.9,133.91,16.18,4.9
355,belmonte,20,BR,1580665180,79,-15.86,-38.88,86.0,6.93
356,port hedland,49,AU,1580665181,74,-20.32,118.57,82.4,10.29
357,hamilton,1,US,1580665181,46,39.18,-84.53,55.99,19.46
358,hambantota,80,LK,1580665181,75,6.12,81.12,79.02,18.63
359,margate,20,GB,1580665001,71,51.38,1.39,53.6,13.87
360,carutapera,1,BR,1580665181,80,-1.2,-46.02,81.37,12.64
361,arman,0,RU,1580665181,86,59.7,150.17,-9.27,8.61
362,japura,66,ID,1580665181,97,-0.32,102.35,73.11,1.97
363,zeya,100,RU,1580665181,98,53.75,127.27,-5.46,3.78
364,villa guerrero,90,MX,1580665182,43,18.87,-99.65,75.0,4.7
365,parabel,100,RU,1580665182,88,58.7,81.48,9.36,9.15
366,buraydah,0,SA,1580665182,37,26.33,43.98,55.4,3.36
367,vila do maio,0,CV,1580665182,19,15.13,-23.22,86.0,12.75
368,swan river,82,CA,1580665182,79,52.11,-101.27,23.13,14.83
369,canberra,18,AU,1580665166,48,-35.28,149.13,64.4,9.17
370,doume,52,CM,1580665182,25,4.23,13.45,76.08,1.45
371,shellbrook,75,CA,1580665182,66,53.22,-106.4,15.8,24.16
372,ambanja,98,MG,1580665182,82,-13.68,48.45,79.92,4.21
373,eha amufu,49,NG,1580665183,20,6.66,7.76,95.0,4.7
374,port lincoln,77,AU,1580665183,66,-34.73,135.87,61.75,12.15
375,esperance,90,AU,1580665183,67,-33.87,121.9,62.6,10.29
376,salalah,0,OM,1580665183,60,17.02,54.09,75.2,3.36
377,tilichiki,0,RU,1580665183,90,60.47,166.1,-31.22,9.31
378,karnal,0,IN,1580665183,79,29.68,76.98,48.15,6.33
379,maloy,40,NO,1580665183,66,61.94,5.11,37.0,3.36
380,berlevag,75,NO,1580665183,79,70.86,29.09,21.2,17.22
381,valentin gomez farias,100,MX,1580665183,22,28.22,-106.58,57.99,5.99
382,pathein,0,MM,1580665184,69,16.78,94.73,74.57,10.2
383,takaka,3,NZ,1580665184,94,-40.85,172.8,68.0,5.01
384,saraland,1,US,1580665184,36,30.82,-88.07,66.99,8.05
385,bilibino,58,RU,1580665184,100,68.05,166.44,-40.81,1.32
386,zhigansk,34,RU,1580665184,96,66.77,123.37,-35.61,9.08
387,muriwai beach,39,NZ,1580665184,88,-36.82,174.45,70.0,11.41
388,saint-augustin,100,CA,1580665184,88,51.23,-58.65,20.05,24.23
389,jawa,65,JO,1580665184,76,31.85,35.94,50.0,1.12
390,svetlogorsk,80,BY,1580665184,87,52.63,29.73,39.92,16.75
391,marsa matruh,93,EG,1580665184,67,31.35,27.25,59.0,5.82
392,khatassy,100,RU,1580665185,74,61.9,129.64,-23.8,4.47
393,agadez,0,NE,1580665206,17,19.75,10.25,65.43,3.71
394,rio grande,40,BR,1580665206,58,-32.03,-52.1,87.8,11.41
395,sicamous,90,CA,1580665206,92,50.83,-118.99,32.0,1.83
396,tupancireta,0,BR,1580665206,36,-29.08,-53.84,89.22,1.23
397,mocuba,100,MZ,1580665227,97,-16.84,36.99,75.58,2.75
398,toamasina,32,MG,1580665227,80,-18.17,49.38,79.65,16.28
399,springfield,1,US,1580665228,38,37.22,-93.3,66.0,10.29
400,souillac,40,MU,1580665228,83,-20.52,57.52,80.6,12.75
401,shubarshi,65,KZ,1580665228,94,48.59,57.19,15.33,6.91
402,saint-francois,100,FR,1580665228,72,46.42,3.91,60.8,10.29
403,camacha,0,PT,1580665228,82,33.08,-16.33,68.0,12.75
404,dulce nombre de culmi,31,HN,1580665228,51,15.1,-85.53,81.72,4.99
405,mehamn,20,NO,1580665228,73,71.04,27.85,26.6,23.04
406,dobromir,75,RO,1580665228,62,44.02,27.78,55.99,16.11
407,west wendover,1,US,1580665228,93,40.74,-114.07,35.6,1.3
408,dingle,50,PH,1580665228,89,11.0,122.67,68.18,9.06
409,mogok,0,MM,1580665229,58,22.92,96.5,57.16,2.82
410,minab,50,IR,1580665229,72,27.15,57.08,66.2,2.24
411,verkhoyansk,10,RU,1580665229,99,67.54,133.38,-35.23,2.24
412,tuim,85,RU,1580665229,96,54.34,89.93,-4.16,2.13
413,urgut,100,UZ,1580665229,51,39.4,67.24,50.0,4.7
414,pietermaritzburg,97,ZA,1580665003,90,-29.62,30.39,79.0,1.92
415,dukat,90,RU,1580665229,99,62.55,155.55,-34.33,5.01
416,katsuura,75,JP,1580665229,61,35.13,140.3,48.2,6.93
417,angoche,90,MZ,1580665230,83,-16.23,39.91,78.48,3.6
418,manaus,40,BR,1580664940,59,-3.1,-60.02,89.6,10.29
419,hargeysa,99,SO,1580665230,75,9.56,44.06,63.21,13.24
420,fougamou,89,GA,1580665230,92,-1.22,10.58,76.24,3.71
421,manacapuru,75,BR,1580665230,55,-3.3,-60.62,89.6,9.17
422,rockhampton,0,AU,1580665230,83,-23.38,150.5,73.4,0.11
423,hanyang,100,CN,1580665230,47,32.14,105.51,40.59,1.14
424,itarema,76,BR,1580665231,62,-2.92,-39.92,87.39,11.03
425,komsomolskiy,100,UZ,1580665231,51,40.43,71.72,35.6,6.93
426,harstad,90,NO,1580665231,86,68.8,16.53,33.8,21.92
427,ranong,24,TH,1580665231,77,9.97,98.63,77.9,4.94
428,kungurtug,98,RU,1580665231,86,50.6,97.52,-5.76,1.5
429,husavik,100,IS,1580665231,84,66.04,-17.34,3.2,2.24
430,lat yao,0,TH,1580665231,43,15.75,99.79,76.73,2.93
431,namibe,20,AO,1580665232,83,-15.2,12.15,77.0,11.41
432,alofi,98,NU,1580665232,94,-19.06,-169.92,69.8,3.36
433,boma,0,GH,1580665232,14,7.08,-2.17,85.12,2.21
434,baoding,0,CN,1580665232,28,38.85,115.49,25.81,5.73
435,crystal beach,90,CA,1580665232,86,42.87,-79.06,36.0,9.17
436,tura,0,IN,1580665232,55,25.52,90.22,53.85,3.15
437,mitsamiouli,18,KM,1580665232,70,-11.38,43.28,83.93,1.45
438,ahuimanu,75,US,1580665232,88,21.44,-157.84,68.0,5.7
439,keuruu,75,FI,1580665232,91,62.27,24.7,33.01,9.17
440,cape girardeau,1,US,1580665233,54,37.31,-89.52,57.99,8.05
441,cabra,98,ES,1580665233,56,37.47,-4.44,80.6,3.36
442,mujiayingzi,0,CN,1580665233,59,42.12,118.78,5.11,5.57
443,hervey bay,0,AU,1580665233,83,-25.3,152.85,75.2,5.82
444,paramonga,72,PE,1580665233,90,-10.67,-77.83,70.97,13.65
445,kristianstad,40,SE,1580665233,77,56.03,14.15,39.2,9.17
446,amargosa,69,BR,1580665233,42,-13.03,-39.6,90.99,4.74
447,merta,17,IN,1580665233,32,26.65,74.03,56.34,9.04
448,araure,27,VE,1580665233,48,9.56,-69.21,84.2,16.11
449,blackwater,0,AU,1580665233,76,-23.58,148.88,73.44,5.12
450,paldiski,75,EE,1580665234,86,59.36,24.05,39.0,10.29
451,alugan,35,PH,1580665234,80,12.22,125.48,74.5,11.43
452,ramhormoz,0,IR,1580665234,50,31.28,49.6,51.8,6.93
453,grosseto,20,IT,1580665234,82,42.83,11.25,60.01,2.24
454,oktyabrskiy,45,RU,1580665234,97,54.48,53.47,23.43,11.61
455,tigzirt,32,DZ,1580665234,75,36.89,4.12,61.03,5.88
456,taoudenni,0,ML,1580665234,11,22.68,-3.98,76.57,10.4
457,yanam,20,IN,1580665234,69,16.73,82.22,82.4,6.93
458,stende,66,LV,1580665234,80,57.15,22.53,41.0,17.22
459,caceres,97,ES,1580665235,89,39.52,-6.37,56.23,3.56
460,kaa-khem,58,RU,1580665235,90,51.68,94.73,-12.32,0.51
461,tabuk,96,PH,1580665235,86,17.42,121.44,63.81,4.09
462,bowen,40,AU,1580665235,94,-20.02,148.23,73.99,2.64
463,kulhudhuffushi,12,MV,1580665235,76,6.62,73.07,80.96,13.38
464,mayumba,49,GA,1580665235,74,-3.43,10.66,84.02,8.32
465,ust-kulom,88,RU,1580665235,93,61.69,53.69,18.41,9.71
466,san juan,0,AR,1580665235,23,-31.54,-68.54,92.28,14.47
467,hermosillo,40,MX,1580664959,19,29.07,-110.97,72.0,5.82
468,krymsk,75,RU,1580665236,81,44.93,37.99,51.8,29.08
469,prabumulih,100,ID,1580665236,95,-3.45,104.25,74.95,3.58
470,raudeberg,40,NO,1580665236,66,61.99,5.14,37.0,3.36
471,santa isabel,75,BR,1580664939,69,-23.32,-46.22,82.4,3.36
472,hailey,90,US,1580665236,92,43.52,-114.32,35.01,17.22
473,odweyne,42,SO,1580665236,51,9.41,45.06,70.65,7.76
474,tanggulangin,100,ID,1580665236,92,-7.5,112.7,73.42,1.39
475,ust-kuyga,20,RU,1580665236,99,70.02,135.6,-31.92,7.54
476,kankon,20,IN,1580665236,83,15.02,74.02,77.0,5.82
477,tommot,100,RU,1580665236,98,58.96,126.29,-18.2,2.84
478,baoqing,0,CN,1580665237,86,46.33,132.21,-4.07,8.32
479,garowe,51,SO,1580665237,56,8.41,48.48,73.22,19.93
480,hay river,75,CA,1580665237,76,60.82,-115.8,-9.4,11.41
481,warangal,1,IN,1580665237,76,18.0,79.58,70.54,5.44
482,amapa,75,BR,1580665237,54,1.0,-52.0,86.04,4.81
483,vrangel,100,RU,1580665237,48,42.73,133.08,24.46,13.82
484,ulkan,84,RU,1580665237,100,57.24,107.32,-27.96,3.18
485,nantucket,90,US,1580665237,65,41.28,-70.1,42.01,8.05
486,aden,100,YE,1580665211,70,12.78,45.04,75.61,10.45
487,avera,1,US,1580665238,50,33.19,-82.53,61.0,16.11
488,vidalia,1,US,1580665238,47,32.22,-82.41,59.0,10.29
489,amposta,28,ES,1580665238,67,40.71,0.58,63.0,6.93
490,morganton,1,US,1580665238,28,35.75,-81.68,57.99,9.17
491,voznesenye,100,RU,1580665238,94,61.01,35.48,35.53,7.09
492,malinovoye ozero,0,RU,1580665238,81,51.68,79.78,8.78,10.38
493,tiksi,51,RU,1580665238,90,71.69,128.87,-26.12,6.2
494,bereda,100,ES,1580665238,55,43.27,-7.54,66.99,23.04
495,santo domingo,40,DO,1580665097,66,18.5,-69.99,87.01,11.41
496,general roca,0,AR,1580665239,21,-39.03,-67.58,82.4,8.05
497,korla,91,CN,1580665239,52,41.76,86.15,16.2,5.84
498,port-gentil,40,GA,1580665239,88,-0.72,8.78,80.6,11.41
499,christchurch,100,NZ,1580665239,34,-43.53,172.63,80.6,14.99
500,bell ville,0,AR,1580665239,45,-32.63,-62.69,93.0,1.99
501,talcahuano,0,CL,1580665239,49,-36.72,-73.12,69.8,11.41
502,port blair,75,IN,1580665239,76,11.67,92.75,80.51,11.3
503,ahipara,0,NZ,1580665239,100,-35.17,173.17,63.0,6.82
504,waingapu,100,ID,1580665239,71,-9.66,120.26,83.03,9.22
505,ambilobe,100,MG,1580665239,87,-13.2,49.05,77.27,2.68
506,henties bay,0,NA,1580665240,87,-22.12,14.28,64.99,5.01
507,chumikan,100,RU,1580665240,97,54.72,135.31,2.89,5.59
508,axim,8,GH,1580665240,71,4.87,-2.24,82.74,8.5
509,saint-leu,75,RE,1580665240,88,-21.15,55.28,78.8,28.86
510,bisira,99,PA,1580665240,71,8.52,-81.71,75.18,15.3
511,karratha,15,AU,1580665240,74,-20.74,116.85,81.57,13.18
512,jinan,14,CN,1580665240,62,36.67,117.0,30.16,5.61
513,kontagora,32,NG,1580665240,8,10.4,5.47,81.0,3.53
514,hvolsvollur,40,IS,1580665240,80,63.75,-20.22,35.6,20.8
515,tual,100,ID,1580665241,76,-5.67,132.75,83.79,10.96
516,colares,17,PT,1580665241,77,38.8,-9.45,68.0,4.7
517,mitchell,1,US,1580665040,60,43.71,-98.03,42.8,11.41
518,nova gradiska,92,HR,1580665241,48,45.26,17.38,60.8,6.93
519,tandil,56,AR,1580665241,33,-37.32,-59.13,97.0,1.99
520,vardo,75,NO,1580665241,79,70.37,31.11,24.8,19.46
521,beringovskiy,100,RU,1580665241,99,63.05,179.32,-24.45,28.68
522,tuskegee,1,US,1580665241,54,32.42,-85.69,61.0,10.29
523,vryburg,56,ZA,1580665241,29,-26.96,24.73,76.53,1.66
524,nuevo progreso,100,MX,1580665241,60,23.17,-97.95,71.01,5.99
525,chernyshevskiy,24,RU,1580665242,99,63.01,112.47,-36.8,1.9
526,puerto colombia,20,CO,1580665242,66,10.99,-74.95,87.8,11.41
527,byron bay,40,AU,1580665242,83,-28.65,153.62,79.0,10.29
528,tombouctou,0,ML,1580665242,7,20.0,-3.0,73.74,6.67
529,usatove,94,UA,1580665242,76,46.53,30.66,51.8,6.71
530,lata,18,PT,1580665242,68,40.16,-8.33,68.0,5.82
531,phan thiet,62,VN,1580665242,84,10.93,108.1,64.13,3.09
